RK,NAME,TEAM,SALARY
97,"Luke Kennard, SG",Memphis Grizzlies,"$14,415,545"
98,"Christian Wood, F",Dallas Mavericks,"$14,317,460"
99,"Wendell Carter Jr., C",Orlando Magic,"$14,150,000"
100,"Kentavious Caldwell-Pope, SG",Denver Nuggets,"$14,004,703"
101,"Brook Lopez, C",Milwaukee Bucks,"$13,906,976"
102,"Doug McDermott, SF",San Antonio Spurs,"$13,750,000"
103,"Zion Williamson, PF",New Orleans Pelicans,"$13,534,817"
104,"Jordan Clarkson, PG",Utah Jazz,"$13,340,000"
105,"Kyle Kuzma, SF",Washington Wizards,"$13,000,000"
106,"Gary Harris, SG",Orlando Magic,"$13,000,000"
107,"Josh Hart, SG",New York Knicks,"$12,960,000"
108,"Dorian Finney-Smith, PF",Brooklyn Nets,"$12,939,648"
109,"Chris Boucher, PF",Toronto Raptors,"$12,690,000"
110,"Kelly Oubre Jr., SG",Charlotte Hornets,"$12,600,000"
111,"Marvin Bagley III, PF",Detroit Pistons,"$12,500,000"
112,"Robert Covington, PF",LA Clippers,"$12,307,692"
113,"Kelly Olynyk, PF",Utah Jazz,"$12,195,122"
114,"Josh Richardson, SG",New Orleans Pelicans,"$11,615,328"
115,"Devonte' Graham, PG",San Antonio Spurs,"$11,550,000"
116,"Dillon Brooks, SF",Memphis Grizzlies,"$11,400,000"
117,"Richaun Holmes, F",Sacramento Kings,"$11,215,260"
118,"Dwight Powell, C",Dallas Mavericks,"$11,080,125"
119,"Paolo Banchero, PF",Orlando Magic,"$11,055,120"
120,"Robert Williams III, C",Boston Celtics,"$10,937,502"
121,"RJ Barrett, SG",New York Knicks,"$10,900,635"
122,"Bobby Portis, F",Milwaukee Bucks,"$10,843,350"
123,"Nicolas Batum, PF",LA Clippers,"$10,843,350"
124,"Anthony Edwards, SG",Minnesota Timberwolves,"$10,733,400"
125,"Cade Cunningham, PG",Detroit Pistons,"$10,552,800"
126,"P.J. Tucker, PF",Philadelphia 76ers,"$10,490,000"
127,"Mo Bamba, C",Los Angeles Lakers,"$10,300,000"
128,"Talen Horton-Tucker, SG",Utah Jazz,"$10,260,000"
129,"Derrick Favors, F",Atlanta Hawks,"$10,183,800"
130,"Jae Crowder, PF",Milwaukee Bucks,"$10,183,000"
131,"Ivica Zubac, C",LA Clippers,"$10,123,457"
132,"Alec Burks, SG",Detroit Pistons,"$10,012,800"
133,"Reggie Bullock, SF",Dallas Mavericks,"$10,012,800"
134,"Chet Holmgren, PF",Oklahoma City Thunder,"$9,891,240"
135,"De'Andre Hunter, SF",Atlanta Hawks,"$9,835,881"
136,"Larry Nance Jr., PF",New Orleans Pelicans,"$9,672,727"
137,"Ja Morant, PG",Memphis Grizzlies,"$9,603,360"
138,"James Wiseman, C",Detroit Pistons,"$9,603,360"
139,"Landry Shamet, SG",Phoenix Suns,"$9,500,000"
140,"Malik Monk, SG",Sacramento Kings,"$9,472,219"
141,"Jalen Green, SG",Houston Rockets,"$9,441,840"
142,"Jakob Poeltl, C",Toronto Raptors,"$9,398,148"
143,"Dario Saric, PF",Oklahoma City Thunder,"$9,240,000"
144,"Nerlens Noel, C",Brooklyn Nets,"$9,240,000"
145,"Royce O'Neale, PF",Brooklyn Nets,"$9,200,000"
146,"Monte Morris, PG",Washington Wizards,"$9,125,000"
147,"Mason Plumlee, C",LA Clippers,"$9,080,417"
148,"Alex Caruso, SG",Chicago Bulls,"$9,030,000"
149,"Maxi Kleber, PF",Dallas Mavericks,"$9,000,000"
150,"Darius Garland, PG",Cleveland Cavaliers,"$8,920,795"
151,"Jabari Smith Jr., PF",Houston Rockets,"$8,882,640"
152,"Kyle Anderson, SF",Minnesota Timberwolves,"$8,780,488"
153,"Victor Oladipo, SG",Miami Heat,"$8,750,000"
154,"Daniel Theis, C",Indiana Pacers,"$8,694,369"
155,"LaMelo Ball, PG",Charlotte Hornets,"$8,623,920"
156,"Nic Claxton, C",Brooklyn Nets,"$8,500,000"
157,"Grayson Allen, SG",Milwaukee Bucks,"$8,500,000"
158,"Seth Curry, SG",Brooklyn Nets,"$8,496,500"
159,"Evan Mobley, PF",Cleveland Cavaliers,"$8,478,720"
160,"Gary Payton II, SG",Golden State Warriors,"$8,300,000"
161,"De'Anthony Melton, SG",Philadelphia 76ers,"$8,250,000"
162,"T.J. McConnell, PG",Indiana Pacers,"$8,100,000"
163,"Keegan Murray, SF",Sacramento Kings,"$8,008,440"
164,"Thaddeus Young, PF",Toronto Raptors,"$8,000,000"
165,"Taurean Prince, PF",Minnesota Timberwolves,"$8,000,000"
166,"Kevon Looney, F",Golden State Warriors,"$8,000,000"
167,"Isaiah Hartenstein, C",New York Knicks,"$7,804,879"
168,"Delon Wright, SG",Washington Wizards,"$7,804,878"
169,"Patrick Williams, PF",Chicago Bulls,"$7,775,400"
170,"Scottie Barnes, SF",Toronto Raptors,"$7,644,720"
171,"Cedi Osman, SF",Cleveland Cavaliers,"$7,426,088"
172,"Coby White, PG",Chicago Bulls,"$7,413,955"
173,"Aron Baynes, C",Toronto Raptors,"$7,350,000"
174,"Zach Collins, PF",San Antonio Spurs,"$7,350,000"
175,"Jaden Ivey, PG",Detroit Pistons,"$7,252,200"
176,"Jae'Sean Tate, SF",Houston Rockets,"$7,065,217"
177,"Isaac Okoro, SF",Cleveland Cavaliers,"$7,040,880"
178,"Cody Martin, SF",Charlotte Hornets,"$7,000,000"
179,"Jalen Suggs, SG",Orlando Magic,"$6,922,320"
180,"Jaxson Hayes, C",New Orleans Pelicans,"$6,803,012"
181,"Khem Birch, C",Toronto Raptors,"$6,667,500"
182,"Bennedict Mathurin, SG",Indiana Pacers,"$6,586,800"
183,"Patty Mills, PG",Brooklyn Nets,"$6,479,000"
184,"Joe Ingles, SG",Milwaukee Bucks,"$6,479,000"
185,"Caleb Martin, SF",Miami Heat,"$6,479,000"
186,"Lonnie Walker IV, G",Los Angeles Lakers,"$6,479,000"
187,"John Wall, PG",LA Clippers,"$6,479,000"
188,"Bruce Brown, SF",Denver Nuggets,"$6,479,000"
189,"Danilo Gallinari, PF",Boston Celtics,"$6,479,000"
190,"Onyeka Okongwu, PF",Atlanta Hawks,"$6,395,160"
191,"Jarrett Culver, G",Atlanta Hawks,"$6,395,160"
192,"Josh Giddey, SG",Oklahoma City Thunder,"$6,287,280"
193,"Rui Hachimura, PF",Los Angeles Lakers,"$6,263,188"
194,"Rudy Gay, SF",Utah Jazz,"$6,184,500"
195,"Shaedon Sharpe, SG",Portland Trail Blazers,"$6,012,960"
196,"Otto Porter Jr., SF",Toronto Raptors,"$6,000,000"
197,"Cameron Payne, PG",Phoenix Suns,"$6,000,000"
198,"Cam Reddish, SF",Portland Trail Blazers,"$5,954,454"
199,"Cameron Johnson, SF",Brooklyn Nets,"$5,887,899"
200,"Ricky Rubio, PG",Cleveland Cavaliers,"$5,853,659"
201,"Kevin Knox II, SF",Portland Trail Blazers,"$5,845,979"
202,"P.J. Washington, PF",Charlotte Hornets,"$5,808,435"
203,"Jonathan Kuminga, PF",Golden State Warriors,"$5,739,860"
204,"Pat Connaughton, SG",Milwaukee Bucks,"$5,728,393"
205,"Tyler Herro, PG",Miami Heat,"$5,722,116"
206,"Romeo Langford, SG",San Antonio Spurs,"$5,634,257"
207,"Killian Hayes, PG",Detroit Pistons,"$5,572,680"
208,"Dyson Daniels, G",New Orleans Pelicans,"$5,508,600"
209,"JaVale McGee, C",Dallas Mavericks,"$5,461,219"
210,"Obi Toppin, PF",New York Knicks,"$5,348,280"
211,"Franz Wagner, SF",Orlando Magic,"$5,258,280"
212,"Kendrick Nunn, G",Washington Wizards,"$5,250,000"
213,"Hamidou Diallo, SG",Detroit Pistons,"$5,200,000"
214,"Cory Joseph, PG",Detroit Pistons,"$5,155,500"
215,"Torrey Craig, SF",Phoenix Suns,"$5,121,951"
216,"Jeremy Sochan, F",San Antonio Spurs,"$5,063,520"
217,"David Nwaba, SF",Oklahoma City Thunder,"$5,022,000"
