RK,NAME,TEAM,SALARY
422,"Alen Smailagic, PF",Golden State Warriors,"$1,782,621"
423,"Lamar Stevens, F",Cleveland Cavaliers,"$1,782,621"
424,"Naji Marshall, SF",New Orleans Pelicans,"$1,782,621"
425,"Miye Oni, SG",New Orleans Pelicans,"$1,782,621"
426,"Yuta Watanabe, SF",Brooklyn Nets,"$1,762,796"
427,"Khyri Thomas, SG",Houston Rockets,"$1,762,796"
428,"Saben Lee, G",Philadelphia 76ers,"$1,752,638"
429,"Devin Cannady, G",Orlando Magic,"$1,752,638"
430,"Luca Vildoza, G",Milwaukee Bucks,"$1,752,638"
431,"Rayjon Tucker, G",Milwaukee Bucks,"$1,752,638"
432,"Haywood Highsmith, F",Miami Heat,"$1,752,638"
433,"Omer Yurtseven, C",Miami Heat,"$1,752,638"
434,"Malik Fitts, F",LA Clippers,"$1,752,638"
435,"Paul Watson, SG",Oklahoma City Thunder,"$1,701,593"
436,"Charlie Brown Jr., G",Philadelphia 76ers,"$1,701,593"
437,"Kelan Martin, SG",New Orleans Pelicans,"$1,701,593"
438,"Mfiondu Kabengele, C",Boston Celtics,"$1,701,593"
439,"Sam Dekker, F",Toronto Raptors,"$1,669,178"
440,"Jarrell Brantley, PF",Utah Jazz,"$1,669,178"
441,"E'Twaun Moore, G",Orlando Magic,"$1,669,178"
442,"Solomon Hill, SF",New York Knicks,"$1,669,178"
443,"Trevor Ariza, SF",Los Angeles Lakers,"$1,669,178"
444,"Semi Ojeleye, PF",LA Clippers,"$1,669,178"
445,"Kevin Pangos, G",Cleveland Cavaliers,"$1,669,178"
446,"Jabari Parker, PF",Boston Celtics,"$1,669,178"
447,"Enes Freedom, C",Houston Rockets,"$1,669,178"
448,"Jericho Sims, C",New York Knicks,"$1,639,842"
449,"Kessler Edwards, SF",Sacramento Kings,"$1,637,966"
450,"Trevelin Queen, SG",Indiana Pacers,"$1,637,966"
451,"Isaiah Todd, PF",Washington Wizards,"$1,575,000"
452,"JT Thor, F",Charlotte Hornets,"$1,563,518"
453,"Aaron Wiggins, SG",Oklahoma City Thunder,"$1,563,518"
454,"Jared Butler, SG",Oklahoma City Thunder,"$1,563,518"
455,"Greg Brown III, PF",Portland Trail Blazers,"$1,563,518"
456,"Trendon Watford, PF",Portland Trail Blazers,"$1,563,518"
457,"Jock Landale, C",Phoenix Suns,"$1,563,518"
458,"Miles McBride, PG",New York Knicks,"$1,563,518"
459,"Duane Washington Jr., PG",Phoenix Suns,"$1,563,518"
460,"Austin Reaves, SG",Los Angeles Lakers,"$1,563,518"
461,"Brandon Boston Jr., SG",LA Clippers,"$1,563,518"
462,"Jason Preston, PG",LA Clippers,"$1,563,518"
463,"Daishen Nix, SG",Houston Rockets,"$1,563,518"
464,"Isaiah Livers, PF",Detroit Pistons,"$1,563,518"
465,"Marko Simonovic, C",Chicago Bulls,"$1,563,518"
466,"Ayo Dosunmu, SG",Chicago Bulls,"$1,563,518"
467,"Terry Taylor, F",Chicago Bulls,"$1,563,518"
468,"Jose Alvarado, PG",New Orleans Pelicans,"$1,563,518"
469,"Sam Hauser, SF",Boston Celtics,"$1,563,518"
470,"Vit Krejci, G",Atlanta Hawks,"$1,563,518"
471,"Dalano Banton, PG",Toronto Raptors,"$1,563,318"
472,"Daniel Oturu, C",Toronto Raptors,"$1,517,981"
473,"Caleb Homesley, SG",Washington Wizards,"$1,517,981"
474,"Jahmi'us Ramsey, SG",Sacramento Kings,"$1,517,981"
475,"Elijah Bryant, SG",Milwaukee Bucks,"$1,517,981"
476,"Deividas Sirvydis, F",Indiana Pacers,"$1,517,981"
477,"Mamadi Diakite, F",Cleveland Cavaliers,"$1,517,981"
478,"Tyus Jones, PG",Memphis Grizzlies,"$1,500,000"
479,"Christian Koloko, C",Toronto Raptors,"$1,500,000"
480,"Alize Johnson, F",San Antonio Spurs,"$1,392,896"
